qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Question: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nAnswer:,It can also cause people to have to go to the hospital for treatment.,"comorbidities, and the need for medication.",The onset of life is impaired by chronic diseases.,The human population is a vast majority of the world's population.,"Diseases such as diabetes, heart disease, and stroke have a profound effect on the population.",it causes people to lose weight,a greater number of patients to prevent,"Diseases can lead to death and disability, loss of independence, and disintegration.",It can lead to extreme infertility or the disease may be irreversible.,The prevalence of chronic diseases is increasing.
8,Question: best apps daily activity exercise diabetes\nAnswer:,Youtube,Doing cardio and a little exercise,Good,app for pc,Best Active Apps,juju app,sandbox,Activate.,It is a fun way to get active without having to worry about your body.,Google's daily activity app
22,Question: my risk for developing type 2 diabetes\nAnswer:,a higher risk for hypertension,There are several reasons for this.,lowering the sugar level of the blood,Its onset occurs around the time it is exposed to insulin.,Diabetic risk: >22%,I think it depends on the severity of your condition,a low rate,DPH,"In the United States, diabetes is a major contributor to cardiovascular disease and can lead to death.",is increased by taking too much dietary sugar and high amounts of insulin.
35,Question: Is a ketogenic / keto diet suitable for people with diabetes?\nAnswer:,It is not possible to tell,no,yes,No,no,no,no,Yes,No,Yes
45,Question: Can diabetes be cured?\nAnswer:,no,no,yes,yes,it is not possible to cure it.,yes,yes,Yes,No,no
51,Question: What is holistic medicine and what does it include?\nAnswer:,herbal remedies,It includes a holistic philosophy of life and spirituality.,An illness or disease,a holistic approach to medicine,a holistic approach to the health of the individual,"The concept of ""theological medicine"" has been developed and used by physicians for centuries.",The use of a holistic approach to healing or adjusting to life on its own,A holistic approach to medicine,a combination of different beliefs and practices,a comprehensive medical treatment
52,Question: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nAnswer:,"I consulted with a psychiatrist, and he agreed with my concerns.",(M)  (N)  (m)  (n)  (n)  (m)  (n)  (m)  (n)  (m)  (n)  (m)  (n)  (m)  (m)  (n)  (m)  (n)  (m)  (m)  (n)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m)  (m),Is there a good way to combat or avoid the most common mental health problems?,Consider the following,"When you're having trouble sleeping and you don't know what to do, you'll probably start to feel a lot worse.",You need to recognize that your mental health is at a critical stage and that your overall health is in trouble.,"If you have a mental health problem, you may need to address it.","By preventing and treating underlying conditions, you can get the best treatment possible for your mental health problems.",I have been diagnosed with a few mental health problems that have a big impact on my life.,"If you are a parent, or someone who is a survivor, you might be at risk of a mental health problem, such as suicidal thoughts, hallucinations, or nightmares."
53,Question: what is psychotherapy?\nAnswer:,"Psychotherapy (or psychotherapy) is an empiricism or mental-health disorder in which a person is treated for a variety of disorders, including schizophrenia, depression, bipolar disorder, and psychosis.",Psychotherapy is the study of how people perceive themselves and how they interact with their loved ones.,Psychotherapy is a form of psychotherapy which focuses on empowering people with their thoughts and feelings.,a form of psychotherapy,"Psychotherapy is a science of psychology that aims to improve the lives of people by improving the quality of their lives, and by allowing them to achieve their own goals.","psychotherapy is the practice of counseling and psychotherapy, which aims to improve the quality of life of people through the interaction between them and their surroundings.","Psychotherapy is a form of psychotherapy, in which patients receive therapy to help them cope with their depression.",Psychotherapy is the study of a person's psychological or physical state.,a psychotherapeutic treatment,a psychological treatment
54,Question: What does multiple sclerosis diagnosis include? What does it change?\nAnswer:,Multiple sclerosis,Multiple sclerosis,Multiple sclerosis,Myosinophilic agiogenesis,a disability,Multiple sclerosis may refer to:,Multiple sclerosis,MRSA,a disease,Multiple sclerosis
55,Question: How to manage multiple sclerosis?\nAnswer:,Take medications to manage the symptoms and complications,Ask your doctor about medications to help with the disease.,Exercise to manage multiple sclerosis,Use a steroid diet to manage multiple sclerosis.,use a drug,Treating a disease with medication.,"Take a daily medication, such as anti-diabetic or immunomodulator drugs, to control a chronic condition of multiple sclerosis.",Try to prevent recurring recurring disease by taking medication.,"To treat multiple sclerosis, you need to have a healthy lifestyle.",Glucose can be used to treat MS in the body.
