qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nComplete Answer:",What are the most common chronic diseases?,The most common chronic diseases are:,What are the most common chronic diseases?,"Chronic diseases include cirrhosis, a form of lung disease, multiple sclerosis, and hepatitis B.","Chronic diseases are characterized by a decrease in blood sugar, an increase in the number of abnormal cells, and an increase in the number of inherited diseases.",What are the most common chronic diseases?,"Common chronic diseases include glaucoma, cancer, diabetes, hypertension, hepatitis, and Parkinson's disease.",What are the most common chronic diseases?,What are the most common chronic diseases?,"Chronic diseases have several causes, and some have a variety of health consequences."
8,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best apps daily activity exercise diabetes\nComplete Answer:",diabetes apps,What are the best apps to help with diabetes?,The best apps for diabetes include:,best apps for daily activity diabetes exercise,best apps for exercise diabetes,can help with diabetes management,Your medical knowledge assistant can help you find and use best diabetes prevention apps.,best apps daily activity exercise diabetes,most useful apps for daily activity exercise diabetes,best apps to track your daily activity and exercise diabetes
22,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: my risk for developing type 2 diabetes\nComplete Answer:",Type 2 diabetes is a type of diabetic disease that can cause severe or life-threatening problems.,"Type 2 diabetes has been linked to increased blood sugar levels, high cholesterol, and high blood pressure.",Type 2 diabetes is a chronic and incurable disease that affects over 90% of Americans.,"My risk for developing type 2 diabetes is . Type 2 diabetes is a cardiovascular disease that affects more than one in every 200,000 people.",Type 2 diabetes is a disease that affects about 20% of Americans.,Type 2 diabetes is a common condition that can lead to high blood pressure and heart failure. Type 2 diabetes is a cardiovascular disease that affects one in three adults.,"Your doctor will likely diagnose you with type 2 diabetes, and recommend treatments for your disease.",,Type 2 diabetes may be related to:,Your responsibilities include:
35,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is a ketogenic / keto diet suitable for people with diabetes?\nComplete Answer:",Is a ketogenic / keto diet suitable for people with diabetes?,The ketogenic diet is a low-carbohydrate diet that is designed to help control blood sugar levels.,"A ketogenic diet is an advanced, high-protein diet designed to help control blood sugar levels, especially in people with diabetes.",Is a ketogenic / keto diet suitable for people with diabetes?,"ketogenic / keto diets are a type of diet that encourages the body's metabolism to convert glucose into energy, which is needed in order to maintain body weight.",ketogenic / keto diets are a low-carbohydrate diet that promotes weight loss and a lower blood sugar.,a ketogenic / keto diet is generally recommended for people with diabetes.,"ketogenic / keto diets are low-fat, high-cholesterol, and high in carbohydrates.",This question is most commonly asked by those who suffer from diabetes. What do the ketogenic diet and ketogenic diets consist of?,A ketogenic diet is an inactive dietary supplement that is primarily a replacement for a traditional dietary supplement.
45,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can diabetes be cured?\nComplete Answer:",Can diabetes be cured?,Diabetes can lead to various diseases and conditions.,Can diabetes be cured?,Can diabetes be curable?,Can diabetes be cured?,Can diabetes be cured?,Can diabetes be cured?,Can diabetes be cured?,Can diabetes be cured?,Is diabetes cured?
51,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What is holistic medicine and what does it include?\nComplete Answer:",Holistic medicine is the use of science to prescribe a health care intervention that provides effective health care for people with conditions such as arthritis and depression. Holistic medicine combines the use of a holistic approach with a more traditional medical approach.,) ).,"Holistic medicine is a type of medicine that includes the diagnosis, treatment, prevention, treatment, and prevention of illnesses and illnesses.",,"The scientific method of treating disease, health, and well-being.",holistic medicine is an approach to the treatment of disease and disorders.,What is holistic medicine?,holistic medicine is a system of treatments that combines the use of natural therapies and lifestyle choices to help people live a healthy lifestyle.,Holistic medicine is a health care practice encompassing holistic health practices and lifestyle.,What is holistic medicine and what does it include?
52,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nComplete Answer:",How to prevent or manage most common mental health problems.,How can I prevent or manage the most common mental health problems?,What are the most common mental health problems?,What are the most common mental health problems?,What are the most common mental health problems?,"These are the most common mental health problems, and you can help with the following questions:",What are the most common mental health problems? How can I prevent or manage the most common mental health problems?,What are the most common mental health problems? How can I prevent or manage them?,How to prevent or manage the most common mental health problems,What are the most common mental health problems?
53,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: what is psychotherapy?\nComplete Answer:",Psychotherapy is a type of psychological therapy used to help people deal with their own problems.,Psychotherapy is a kind of medical treatment for a wide variety of illnesses and conditions.,"Psychotherapy is a medical treatment for people who are struggling with stress and anxiety, depression, anxiety, depression, anxiety, depression, or other mental health conditions.",Psychotherapy is a form of health care therapy.,Psychotherapy is a non-pharmacological treatment of psychological problems.,"Psychotherapy is the practice of examining and addressing psychological issues, including phobias, depression, attachment disorder, and obsessive-compulsive disorder.","Psychotherapy (psychotherapy) is an alternative therapy for the treatment of a mental illness, such as suicidal thoughts and feelings, which may be related to an inability to cope, self-harm, and depression.",Psychotherapy is a non-psychological treatment for anxiety and depression.,"Psychotherapy is a type of medical treatment for anxiety, depression, and other mental health disorders.",Psychotherapy is a form of behavioral therapy that focuses on helping people cope with their symptoms.
54,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What does multiple sclerosis diagnosis include? What does it change?\nComplete Answer:",Multiple sclerosis diagnosis includes symptoms of multiple sclerosis,"Multiple sclerosis diagnosis includes a number of medical conditions: multiple sclerosis (MCS), or chronic sclerosis, which are chronic diseases.",Multiple sclerosis diagnosis include:,Multiple sclerosis diagnosis includes the following diagnostic criteria:,Multiple sclerosis diagnosis includes: What does it change?,"Multiple sclerosis is a degenerative disease, which affects the brain, spinal cord, and nervous system. Multiple sclerosis can lead to chronic obstructive pulmonary disease (COPD).",Multiple sclerosis diagnosis includes a physical examination and/or imaging to assess the severity of the disease.,Multiple sclerosis diagnosis includes a disease that affects the body's ability to heal and function.,"Multiple sclerosis (MS), also known as type 2 diabetes, is a rare disease in which the immune system attacks the body. Multiple sclerosis is a condition in which the immune system attacks the brain and spinal cord, with consequences that include a range of physical symptoms including shortness of breath, loss of appetite, and difficulty learning.",Multiple sclerosis diagnosis includes:
55,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How to manage multiple sclerosis?\nComplete Answer:",How to manage multiple sclerosis,How to manage multiple sclerosis?,Multiple sclerosis.,Do you know what your job title is?,How to treat multiple sclerosis,Multiple sclerosis treatment and prevention,How to manage multiple sclerosis,Your clinical knowledge and medical experience may help others.,How to manage multiple sclerosis?,Multiple sclerosis: What are the symptoms and treatment options?
