qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Question: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nAnswer:,"Chronic diseases, such as diabetes, heart disease, and lung disease, are caused by the accumulation of sugars in the blood.",Diabetes,vascular disease,obesity,Diabetes,"Chronic diseases can have negative effects on the economy, social life, and personal health.",Chronic diseases are illnesses that have a long-term effect on the organism.,Heart disease,fibromyalgia,br>
8,Question: best apps daily activity exercise diabetes\nAnswer:,,"Apps to monitor glucose, exercise, and blood sugar","A daily activity app that allows users to stay fit by exercising, without the need to worry about calorie or sugar intake.",Fitness Tracker,Diabetics.com,Exercise & Fitness Tracker,Apps for Daily Activity with Diabetes,"Apps that monitor your daily activity, exercise and sleep.",Apps for Daily Activity and Exercise,App Storebr>Applebr>Androidbr>iOSbr>IPadbr>Androidbr>iPhonebr>iPodbr>iPadbr>Androidbr>iPhonebr>iPodbr>iPhonebr>iPodbr>iPadbr>iPhonebr>iPadbr>iPhonebr>iPadbr>iPodbr>iPadbr>iPhonebr>iPadbr>iPhonebr>iPadbr>iPodbr>iPadbr>iPhonebr>iPadbr>iPhonebr>iPadbr>iPhonebr>iPadbr>iPhonebr>iPadbr>iPadbr>iPadbr>iPhonebr>iPadbr>iPadbr>iPhonebr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPhonebr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr>iPadbr
22,Question: my risk for developing type 2 diabetes\nAnswer:,1 in 100.,is 1 in 3,Approximately one in 20,increases as you age,My risk is higher if I have high cholesterol and a family history of type 2 diabetes.,if you have a family history of it,can be reduced by a diet low in sugar and refined carbohydrates.,is lower than for adults,Cardiovascular disease,"In the elderly, people with high blood pressure are more likely to develop type 2 diabetes than people with low blood pressure"
35,Question: Is a ketogenic / keto diet suitable for people with diabetes?\nAnswer:,"No, ketogenic/ keto diet is not suitable for diabetic people.",ketogenic diets are low in carbohydrates.,Yes,It is recommended to eat a very low-carbohydrate diet.,ketogenic diets are very low in carbohydrates.,ketogenic diet is not suitable for people with diabetes,ketogenic diet is a diet that restricts the carbohydrate intake.,yes,The ketogenic diet is one of the most effective ways to lose weight.,Yes
45,Question: Can diabetes be cured?\nAnswer:,Diabetes can be cured with diet and exercise.,"Diabetes can be successfully treated with lifestyle changes, especially a healthy diet, exercise, and less refined carbohydrates.","In humans, diabetes can be treated with insulin and/or exercise, although this is not often successful.",Diabetes is an illness that requires treatment.,Diabetes can be cured by medication and can be managed with lifestyle changes.,"Diabetes is an autoimmune disease affecting the immune system, so its cure is not currently known.",Diabetes is a condition that causes uncontrolled weight gain and is caused by the body's inability to regulate blood sugar.,It is still poorly understood how to control diabetes.,no,No
51,Question: What is holistic medicine and what does it include?\nAnswer:,"holistic medicine is the use of complementary and alternative medicine (CAM) to treat conditions such as arthritis, rheumatoid arthritis, and other conditions.","holistic medicine encompasses a wide range of techniques and approaches to treating a person's whole person; including yoga, meditation, Chinese medicine, alternative medicine, homeopathy, natural healing, acupuncture, and other therapies.",holistic medicine is a scientific approach to healing based on the use of a combination of complementary and alternative therapies.,"holistic medicine encompasses the study of alternative medical and alternative therapies, including yoga, meditation and other practices that promote a natural state of health.","holistic medicine is the use of various techniques and approaches to health, including alternative and complementary therapies.","holistic medicine, which includes the following",holistic medicine,"holistic medicine includes acupuncture, alternative therapies, alternative medicines, homeopathy, and other natural remedies",holistic medicine is the practice of combining different disciplines such as conventional medical and alternative medical treatments to help people achieve optimal health.,"holistic medicine is the practice of combining various conventional medical and non-medical approaches to heal the physical, mental, and spiritual health of the individual."
52,Question: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nAnswer:,nThe most common mental health problems are:,Mental health problems are the most common mental disorders and disorders in the United States.,"Depression, anxiety, and psychotic symptoms are the most common mental health problems. They often come in many different forms and they often do not present symptoms until they get worse. They can be serious or manageable.","Depression is a major cause of disability and illness. Over 50% of adults in the United States suffer from some form of depression. Many people with mental health problems have no symptoms, causing them to be undiagnosed, undertreated, and untreated.","Mental health problems are any illness that affects the functioning of the mind, or the health of a person's body.","Mental health problems include schizophrenia, bipolar disorder, and multiple personality disorder.",The most common mental health problems are:,Mental health problems include:,Mental health problems are the most common causes of disability and death in the United States.,Mental health problems are the most common cause of death and disability in the United States.
53,Question: what is psychotherapy?\nAnswer:,"Psychotherapy is the study and treatment of mental illness, including psychodynamic psychotherapy, psychoanalysis, and dialectical behavior therapy.","The psychotherapist uses cognitive, behavioural and emotional approaches to explore the cause of mental illness.","Psychotherapy is a branch of mental health that deals with psychological and social issues, with the goal of identifying, treating, and resolving conflicts and problems within an individual's life.",Psychotherapy is an approach to understanding and assisting in the recovery of mental illness.,Psychotherapy is an alternative approach to therapy that has been developed by psychologists in the past half century.,"Psychotherapy is a form of psychotherapy that focuses on emotional, behavioral and social issues that affect one's life.",Psychotherapy is a type of therapy in which the therapist seeks to help an individual/group of individuals come to terms with their feelings and/or problems.,Psychotherapy is a form of counselling and psychoanalysis.,Applied psychotherapy,Psychotherapy (also psychoanalytic) is the study of the mental health of people.
54,Question: What does multiple sclerosis diagnosis include? What does it change?\nAnswer:,Multiple Sclerosis Disease (MSD) is a neurologic condition characterized by progressive progressive involvement of the central nervous system and nervous system in a range of activities.,Symptoms change when the muscle fibers,presenting with myopathy,The clinical presentation of multiple sclerosis is as follows:,a change in the way the brain works,"Multiple Sclerosis disease, also known as MS, is a progressive disease characterized by progressive and progressive involvement of the spinal column.","Multiple myelodysplastic syndrome is a type of multiple sclerosis, in which the nerves that control movement and function are affected.",sclerosis relapses,Multiple sclerosis is an illness in which the neuronal cell divides to form new cells.,MRI scan to assess nerve damage
55,Question: How to manage multiple sclerosis?\nAnswer:,Medications are available to manage multiple sclerosis and other neurological conditions.,"Take a pain medication, such as ibuprofen, to treat the symptoms.",Avoid alcohol and tobacco.,Acupuncture,"To manage multiple sclerosis, the primary strategy is to take medication.","During the first weeks, you may experience pain, but this will improve gradually.",Take medication,Sit on the floor and take deep breaths in order to help clear your mind and body of all toxins.,Make sure you drink plenty of water.,"Take medications that are known to reduce inflammation, thereby reducing the amount of inflammation."
57,Question: multiple sclerosis stages phases\nAnswer:,The first stage is the early phase:,MS (multiple myelodysplastic syndromes) is a progressive disease that occurs in people between the ages of 30 and 70.,3,The first stage of multiple sclerosis is the early stage of progressive disease,Multiple sclerosis is an autosomal recessive neurodegenerative disease that progresses over time and can be classified as either progressive disease or relapsing-remitting disorder.,Eventually the disease progresses to a progressive condition,Multiple myeloma,Phase I,Stages of Multiple Sclerosis,acute
58,Question: Risk to develop multiple sclerosis\nAnswer:,31%,5% to 10%,50%,A person is at a greater risk of developing multiple sclerosis if they are at high risk for,5%,"If you are at higher risk of developing MS, then the best way to reduce your risk is to have a family history of MS",Having the highest risk of MS is a family history of atherosclerosis,"The disease is more common in the elderly, which is the group of people at high risk of developing multiple sclerosis",is increased in the presence of multiple sclerosis-related diseases,a low birth weight
59,Question: long-term effects likelihood multiple sclerosis\nAnswer:,"In addition to the short-term effects, the longer you suffer from MS, the greater the likelihood of a permanent loss of function.",The disease is often fatal,Increased rates of disability due to pain,"the disease develops in the brain and spinal cord, causing temporary muscle damage.",The average age of onset is around 50 years,The likelihood of getting multiple sclerosis is low due to the fact that it can be treated with medication and exercise.,Multiple sclerosis is a neurological disorder characterized by multiple progressive relapsing-remitting disorder (PRD) and multiple myelodysplastic syndrome (MDS).,The risk for developing multiple sclerosis increases with age and has a significant impact on the quality of life for the person.,(I) the progressive and severe form of the disease.,The incidence of multiple sclerosis increases with age and with obesity.
62,"Question: disclosing multiple sclerosis at work, how will colleagues react?\nAnswer:",they will support you,like they know you are sick,they will support you,they will be supportive,cynical,they will support you,they will support you,they may be supportive,like a supportive group,positive
63,Question: Will multiple sclerosis affect my career?\nAnswer:,Multiple sclerosis can be life-threatening and can be very expensive to treat.,"Multiple sclerosis can be life-threatening, and can be very difficult to control.",Multiple sclerosis can have a negative impact on your work performance.,Multiple sclerosis is a progressive condition that can lead to disability.,Multiple sclerosis is a progressive condition that affects the nervous system.,"Multiple sclerosis can interfere with tasks that require thinking quickly, such as performing calculations or working with numbers.",Illness can affect your ability to live a quality life.,Multiple sclerosis has a tendency to lead to decreased functioning and reduced job prospects.,Multiple sclerosis can cause a person to have a limited range of motion.,It can be very difficult to get a job.
68,Question: List of multiple sclerosis symptoms\nAnswer:,"Pain in the back of the neck, neck, and arm and/or head.",Multiple Sclerosis Multiple Sclerosis is a progressive disease that affects the nervous system.,Multiple myelodysplasia (MM) is a disease in which the brain and spinal cord are unable to control the movement and sensation of the affected spinal cord.,"Symptoms include pain, stiffness, stiffness, and limited mobility.",Symptoms of multiple sclerosis are:,sever urination,Symptoms of MS include:,Symptoms of multiple sclerosis may include:,"Symptoms of multiple sclerosis include pain in the extremities, a loss of sensation, difficulty with balance, and a lack of reflexes",Symptoms of multiple sclerosis include:
72,Question: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nAnswer:,The vaccine does not interact with multiple sclerosis medications.,Multiple sclerosis drugs have not been shown to interact with the vaccine.,Covid-19 vaccine is ineffective against multiple sclerosis and other diseases.,"Covid-19 vaccine is not recommended for people with multiple sclerosis, because the vaccine may be toxic to these drugs.",Covid-19 vaccines are made to be taken by children.,Covid-19 vaccine can cause reactions in people with multiple sclerosis.,The Covid-19 vaccine is not suitable for people taking MS medications.,Covid-19 vaccine can cause side effects in some patients.,Covid-19 vaccine is not approved for use in people with MS.,Covid-19 vaccine is not recommended for people with multiple sclerosis because it is not safe.
77,Question: How do menopause symptoms relate to multiple sclerosis symptoms?\nAnswer:,Menopause symptoms are very similar to those of MS.,"Symptoms of menopause include fatigue, mood swings, moodiness, and muscle atrophy.",Menopause is a period of hormonal changes that occur during menopause and can be thought of as the beginning of menopause.,Menopause symptoms are often associated with nausea and weight loss.,"Menopause symptoms include increased vaginal dryness, as well as more rapid menstrual cycles.","Menopause symptoms include sweating, dry skin, and cold / flu-like symptoms.",Menopause is the onset of menstrual arousal.,"Multiple sclerosis is associated with the menopause, which is the beginning of a woman's reproductive age.",Menopause symptoms are less frequent during menopause compared to multiple sclerosis.,"Menopause symptoms include fatigue, hot flashes, dry mouth, and low blood sugar."
79,Question: Can I pass multiple sclerosis to other family members?\nAnswer:,Multiple sclerosis is a disease that affects the nervous system and affects the brain.,Multiple sclerosis is a disease that affects one in ten people and the disease is very rare.,Multiple sclerosis is a disease of the central nervous system.,Multiple sclerosis is an autosomal recessive disease that can be passed through the immune system.,Multiple sclerosis is a disease that can be passed from parent to child.,Multiple sclerosis has been linked to certain genes. These genes are involved in the development of MS.,Multiple sclerosis is a progressive disease that has no known cure.,"Multiple sclerosis is a progressive disease that affects a person's brain and spinal cord. If you are in the same family as someone who has multiple sclerosis, you are more likely to be affected by the condition.",Multiple sclerosis is genetic.,"Multiple sclerosis is an autosomal recessive disorder, meaning that it cannot be passed from one generation to another."
81,Question: Can I work and study full-time with multiple sclerosis?\nAnswer:,"No, the disease does not affect one's ability to work, so it is not an obstacle to full-time study and work.",Multiple sclerosis is a disease that affects the nervous system.,Multiple sclerosis can be controlled and managed with medication.,Multiple sclerosis is a progressive disease that progresses over time. Usually people with MS have relapses after a short period of recovery.,There is no known cure for multiple sclerosis.,Multiple sclerosis is progressive and may require re-programing.,"Multiple sclerosis (MS) is an illness that affects the nerves in the brain, and the brain is unable to process information. MS only affects certain muscles in the body, which means that you cannot work and study as fully as normal. The best way to prevent MS from affecting your daily activities is to stop taking medication.",It is extremely difficult to work and study full-time with multiple sclerosis.,Multiple sclerosis is an involuntary condition which makes it impossible to work and study regularly.,Multiple sclerosis is a condition that affects the nervous system and sometimes results in paralysis.
83,Question: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nAnswer:,A relapse is a serious event.,"Having been diagnosed with multiple sclerosis, it is unlikely that they are experiencing a relapse of their disease.",The relapse is not a new episode,it is a type of disease,It's the first time I've had a relapse.,"A relapse of MS is an event which affects a significant number of people, often with serious consequences.",It's a sign of the disease,It is a very rare condition that occurs only occasionally.,It is rare,i have been diagnosed with multiple sclerosis
85,Question: Relapsing remitting multiple sclerosis\nAnswer:,is a type of progressive myopic neurological condition.,Involuntary remission,may require surgery,SCI is a condition that causes relapsing remitting multiple sclerosis.,relapsing remitting multiple sclerosis,Relapsing Remitting Multiple Sclerosis,a relapse after a period of inactivity,Symptoms of relapsing remitting MS include:,The two phases of MS are relapsing and remitting.,Relapsing remitting multiple sclerosis is the most common form of MS.
86,Question: Secondary progressive multiple sclerosis\nAnswer:,Multiple Sclerosis,is a progressive disease in which the nerves of the spinal cord are damaged.,"Secondary progressive multiple sclerosis, also known as secondary multiple sclerosis lupus erythematosus (SME), is a rare neurodegenerative disorder that affects the nerves in the brain and spinal cord.",is a progressive neurological condition that affects the spinal cord.,"a rare, progressive disease",CRMS,is a sprained and debilitating condition affecting the optic nerve and spinal cord.,is a disease of the brain that causes muscle spasms.,ALS,is a neurological condition characterized by progressive involvement of the brain
92,Question: causes of fatigue in MS\nAnswer:,Painful or burning sensations,Symptoms of myocardial infarction,"The cause is not fully understood, but it is a possible neurological cause.",Chronic fatigue syndrome (CFS) is a disorder characterized by the inability to sleep.,Multiple sclerosis (MS) is a neurological disease caused by the accumulation of a protein called amygdala.,Allergies,"A high level of acetylcholinesterase is found to be associated with fatigue, although this has not been consistently shown to be the cause of MS fatigue.",Chronic illness,"The muscle fatigue is caused by muscle spasms, which are a common cause of fatigue in MS.","In addition to the above, many other causes of fatigue in MS are:"
93,Question: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nAnswer:,"Multiple sclerosis is an incurable disease, which can be treated with medication.",Multiple sclerosis can affect the quality and quantity of sleep.,Yes,Multiple sclerosis has been associated with age-related cognitive decline in older people.,"Multiple sclerosis is a progressive progressive condition that affects the nervous system. It usually starts with the immune system attacking the disease. Symptoms of multiple sclerosis include fatigue, difficulty sleeping, poor coordination, and short-term memory loss.","Multiple sclerosis is an autosomal recessive disease, meaning that the affected cells are not getting enough nutrients to repair themselves, and they are not able to move or digest food as easily.","Its symptoms include nighttime sleepiness, fatigue, and memory loss.",Multiple sclerosis is a progressive disease with progressive disability.,yes,Multiple sclerosis is the most common cause of memory loss in people of all ages and genders.
94,Question: When will I start to feel better with multiple sclerosis?\nAnswer:,Eventually,"After treatment has been started, symptoms should improve in about 3 months.",After about ten years,after a few years,when my disease progresses,when the disease is treated,When the disease is under control,"Once symptoms subside, the disease can be treated.",after about a decade or two,In the first year of life
