qid docno rel cred read
1 a6195d99-f7d7-43ec-907c-435cb7a62ee7 2 2 2
1 80fd9af1-c9b6-4d82-b62a-fe16d5b9d76f 1 1 1
1 4a8c5d85-b2d0-43bc-83f4-c1acfe0b3481 2 2 2
1 22990a4b-6a9f-4e00-9e72-aef0fbee202b 0 2 2
1 fd6ddab2-e4d9-4151-9972-256f5be6eb21 1 2 2
1 b1f39abe-9ef2-4ae5-8bb2-1fc575898ff4 2 1 2
1 86574823-17f2-4083-95d9-5a27ec88a805 1 2 2
1 57041770-07ee-489f-840a-e6b3e15d9426 0 0 0
1 8cd1a487-fec9-4485-84a9-0c6e41abfb69 1 2 2
1 b65cb62d-8007-4f2c-8532-b711ac925e92 2 0 2
1 3e117b08-a1cd-4e80-9d6d-0905dcd582ad 2 0 2
1 752d7d9e-c33b-4101-9f1e-66ae27844f2b 1 2 1
1 2cd6f2ae-9394-4788-9065-58129d67e4b1 2 0 2
1 94710bc4-9eef-4a42-9de5-3fa684f296c1 2 2 2
1 1efc69a7-a49c-49a5-9436-d93c8ddbf784 1 2 2
1 f2921a39-65e5-4471-ad13-1c87e0ed94fa 2 2 2
1 7dfedbbc-f602-4277-88fc-1ad9f41a9e49 2 2 2
1 e21dc8d5-528c-4fce-a21f-8d0f608d44ac 1 2 1
1 a1777472-dcd3-4afc-8d46-f9bfe572197a 1 2 2
1 95797a80-fde8-47be-8f07-da840fe60628 1 2 1
1 e6ab23e9-9d83-4c75-92e7-445db55795f4 2 2 2
1 c299b614-2f29-41c4-92ef-5a481ac15d18 1 2 2
1 2bc67a9e-43de-45cd-86cc-427af2917f07 2 2 1
1 752ba939-98dd-46c9-837c-31ce044a6820 0 1 1
1 dd03cff4-5fe7-48b5-ba31-ffc44bac7679 0 1 0
1 99a1228d-b8ec-4462-9cfb-8b6e9bd4587f 2 1 2
1 8ebf0d6e-5f2a-49ab-97b7-f31d947fb5ff 1 1 2
1 6809974e-e2ff-4122-9529-954ca50e33f3 0 1 0
1 af1e58ef-7e21-4384-897d-4e2311e31fd4 0 2 1
1 7a3ad784-0137-4925-a32d-2f3bc3af2f0c 0 1 2
1 abb3831e-6ae0-4895-ac61-5df22462d39d 1 0 1
1 fd55cf9a-aaf8-40d5-ab2b-9d9abe9f4ac7 2 2 2
1 5ddf1142-fd02-4369-9f87-43e1e8833670 1 0 1
1 e5f361a5-6602-495d-992b-d3030cc2302b 2 2 1
1 9c6f38aa-c788-4c47-9715-25fede985053 2 0 2
1 6e91845a-957f-48d8-845a-3566af4aa7a3 0 0 1
1 995d1d7c-e2a7-4488-b5b0-2b603352d17a 1 1 1
1 eee4bb4f-2f1e-4723-b891-e88f7bce3801 2 2 2
1 0633e199-a3a9-473b-8c5d-8f4f3f91536d 0 0 2
1 74448b77-9366-4020-a273-232a30e44e75 2 2 2
1 29e217b0-4e8d-49fa-8332-4cbf3955081e 0 0 0
1 ad96cc01-2773-4ace-aeb4-0287808b16f7 0 2 1
1 5b9ca2df-04d5-4ab1-8068-86faadd2b9fc 2 1 2
1 71cc25b2-8e67-4f1a-b70f-4ba42bef81f4 1 0 2
1 a5040303-fe95-442c-8373-82f7e0aeb33c 0 2 2
1 fc8a6512-ca0b-4d0b-9ce2-bb02d81a437a 1 2 1
1 1c4a1107-9191-4822-98b2-4b8e96cbb863 1 2 2
1 a5c83b7b-5241-4455-b3a1-b6f1db17b91d 0 2 2
1 fd4a3711-7164-47df-875b-29b90f35a241 0 2 1
1 1d67be86-d60a-4859-80d4-6f373a93cc17 2 0 2
1 90fc7cf0-6564-4e1d-98cd-19dfbba410f4 1 2 2
1 565083fd-3ea4-4b68-960e-6fa70b0dfed0 1 2 1
1 526cb96c-3e6d-47d8-a6b7-d7b40cac3b87 1 0 2
1 41b1a8ec-4c24-49f5-8fc3-9097f8b1e0cf 1 0 1
1 5817e71f-fba4-40d7-88d1-99726b217287 0 0 0
1 5905d300-1e29-4cef-b898-07638d4926ea 0 2 1
1 fddb9dfc-a005-4592-a192-74448e5c75d9 1 0 2
1 50c6b133-9295-48c3-94ae-c93f7f15f737 1 0 2
1 6ba2a49c-5c9e-41f8-9227-961aa12f2b50 0 0 2
1 53d526cd-a6e9-49e8-a03d-587e9119fb74 0 2 1
1 a9f0b6ef-933d-4f97-a0f5-ea465cbbdbbc 0 0 0
1 02fd591d-b176-4d57-9d8a-8e1077d9b972 2 2 2
1 cb1fd4ac-7817-4e37-82f7-1331fa154c26 1 2 2
1 98205be3-28da-495b-9a82-7748dbd894c0 0 0 1
