qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Question: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nAnswer:,diseases that are associated with the disease,diseases,diseases that affect peoplen,diseases,diseases,illness,diseases,iv.,diseases,diseases
8,Question: best apps daily activity exercise diabetes\nAnswer:,Best apps daily activity exercise diabetesnAnswer:,Best apps Daily activity exercise diabetesnAnswer:D,best apps Daily activity exercise diabetesnAnswer:,best apps daily activity exercise diabetes,Best apps daily activity exercise diabetesn,best apps daily activity exercise diabetes,Best apps daily activity exercise diabetesnAnswer:,Best apps Daily activity exercise diabetesn,Best apps daily activity exercise diabetesn,best apps daily activity exercise diabetesn
22,Question: my risk for developing type 2 diabetes\nAnswer:,I was feeling sick,no,69.8,a higher risk of developing type 2 diabetes,risk of developing Type 2 diabetes,risk of Type 2 diabetes,risk of developing type 2 diabetes,risk of developing Type 2 diabetes,risk of developing Type 2 diabetes,risk
35,Question: Is a ketogenic / keto diet suitable for people with diabetes?\nAnswer:,yes,yes,no,ketogenic / keto diet,ketogenic / keto diet,yes,yes,yes,ketogenic / keto diet is a healthy lifestyle that can be supplemented with some vitamin and mineral supplements.,yes
45,Question: Can diabetes be cured?\nAnswer:,yes,No,yes,No,yes,no,no,yes,yes,yes
51,Question: What is holistic medicine and what does it include?\nAnswer:,adolescent psychiatric disorders,a regenerative medicine,a).,the human immune system,Psychiatric medicine,holistic medicine,medicine,it includes a variety of materials,a medical procedure,philosophic philosophy
52,Question: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nAnswer:,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,nAnswer: [Obama:],How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?
53,Question: what is psychotherapy?\nAnswer:,psychotherapy,psychotherapy,psychotherapy,Psychotherapy,psychotherapy,psychotherapy,Psychotherapy,psychotherapy,psychotherapy,psychotherapy
54,Question: What does multiple sclerosis diagnosis include? What does it change?\nAnswer:,sclerosis,nAnother,no,redox disorder,hepatitis c,sclerosis,a neurotransmitter,varicose vein,different types of diseases,hepatic condition
55,Question: How to manage multiple sclerosis?\nAnswer:,"If you have multiple sclerosis, don't do so.",Use a stool sample to identify the risk of multiple sclerosis,"When the sclerosis is more severe, you need to learn to manage it.",Find a place to live and feel better,Make a list of the symptoms and preventative measures that you should take.,use a needle or a needle and apply the solution to a person with multiple sclerosis,Using a steroid.nAnswer:,"If sclerosis is not a problem, you should try to manage it as quickly as possible, then go for an alternative treatment.",Make sure you are ready to take care of the sclerosis.,"To manage multiple sclerosis, you will need to use an anti-inflammatory medication."
